Word,Start Time (s),End Time (s),Emotion,Character,Mode,Body Posture,Background,Intensity
Hey,0.0,0.3,happy,character1,big_center,hello,green,False
"there,",0.3,0.62,happy,character1,big_center,hello,green,False
wonderful,0.68,1.16,happy,character1,big_center,hello,green,True
humans.,1.16,1.62,happy,character1,big_center,hello,green,True
Today,2.86,3.02,sarcasm,character1,big_center,brave,green,False
I'm,3.02,3.36,sarcasm,character1,big_center,brave,green,False
here,3.36,3.48,sarcasm,character1,big_center,brave,green,False
to,3.48,3.64,sarcasm,character1,big_center,brave,green,False
prove,3.64,3.82,sarcasm,character1,big_center,no,green,False
I'm,3.82,4.12,sarcasm,character1,big_center,no,green,False
absolutely,4.12,4.44,sarcasm,character1,big_center,no,green,False
not,4.44,4.78,sarcasm,character1,big_center,no,green,False
a,4.78,4.96,sarcasm,character1,big_center,no,green,False
badly,4.96,5.3,sarcasm,character1,big_center,no,green,False
animated,5.3,5.66,sarcasm,character1,big_center,no,green,False
PNG,5.66,6.26,sarcasm,character1,big_center,no,green,False
pretending,6.26,6.68,sarcasm,character1,big_center,no,green,False
to,6.68,6.94,sarcasm,character1,big_center,no,green,False
have,6.94,7.12,sarcasm,character1,big_center,no,green,False
feelings.,7.12,7.4,sarcasm,character1,big_center,this,green,False
"Actually,",8.62,8.9,sarcasm,character1,big_side,this,green,False
this,9.12,9.44,sarcasm,character1,big_side,this,green,False
script,9.44,9.74,sarcasm,character1,big_side,this,green,False
has,9.74,9.96,sarcasm,character1,big_side,this,green,False
8,9.96,10.16,sarcasm,character1,big_side,this,green,False
"emotions,",10.16,10.56,sarcasm,character1,big_side,this,green,False
12,10.72,11.14,sarcasm,character1,big_side,this,green,False
"postures,",11.14,11.68,sarcasm,character1,big_side,this,green,False
4,11.78,12.02,sarcasm,character1,big_side,why,green,False
"modes,",12.02,12.3,sarcasm,character1,big_side,why,green,False
and,12.42,12.66,sarcasm,character1,big_side,why,green,False
I,12.66,12.76,sarcasm,character1,big_side,why,green,True
agreed,12.76,12.94,sarcasm,character1,big_side,why,green,True
to,12.94,13.14,sarcasm,character1,big_side,why,green,True
all,13.14,13.28,sarcasm,character1,big_side,me,green,True
of,13.28,13.42,sarcasm,character1,big_side,me,green,True
this.,13.42,13.62,sarcasm,character1,big_side,me,green,True
Why,14.68,14.82,sarcasm,character1,big_center,me,green,True
do,14.82,14.96,sarcasm,character1,big_center,me,green,True
I,14.96,15.12,sarcasm,character1,big_center,me,green,True
do,15.12,15.26,sarcasm,character1,big_center,me,green,True
this,15.26,15.46,sarcasm,character1,big_center,me,green,True
to,15.46,15.6,sarcasm,character1,big_center,this,green,True
myself?,15.6,15.88,sarcasm,character1,big_center,this,green,True
So,17.22,17.36,sarcasm,character1,big_center,this,green,True
this,17.36,17.52,sarcasm,character1,big_side,this,green,True
is,17.52,17.76,sarcasm,character1,big_side,this,green,True
"me,",17.76,17.98,sarcasm,character1,big_side,brave,green,True
being,18.06,18.48,sarcasm,character1,big_side,brave,green,True
totally,18.48,18.86,sarcasm,character1,big_side,brave,green,True
calm.,18.86,19.22,sarcasm,character1,big_side,this,green,True
Look,20.3,20.5,sarcasm,character1,small_side,this,green,True
at,20.5,20.7,sarcasm,character1,small_side,this,green,True
this,20.7,20.88,sarcasm,character1,small_side,this,green,True
calmness.,20.88,21.4,sarcasm,character1,small_side,this,green,True
Doctors,22.52,22.84,sarcasm,character1,small_side,this,green,True
hate,22.84,23.2,sarcasm,character1,small_side,this,green,True
it.,23.2,23.44,sarcasm,character1,small_side,this,green,True
"Behold,",24.18,24.84,sarcasm,character1,small_side,this,green,True
boredom.,24.98,25.62,bore,character1,small_side,this,green,False
This,25.74,26.74,bore,character1,small_side,this,green,False
is,26.74,26.92,bore,character1,small_side,this,green,False
my,26.92,27.12,bore,character1,small_side,this,green,False
default,27.12,27.44,bore,character1,small_side,this,green,False
mode,27.44,27.82,bore,character1,small_side,this,green,False
during,27.82,28.04,bore,character1,small_side,this,green,False
long,28.04,28.36,bore,character1,small_side,this,green,False
meetings,28.36,28.64,bore,character1,small_side,this,green,False
and,28.64,28.9,bore,character1,small_side,wow,green,True
lectures,28.9,29.24,bore,character1,small_side,wow,green,True
starting,29.24,29.64,bore,character1,small_side,wow,green,True
with,29.64,29.9,bore,character1,small_side,wow,green,True
according,29.9,30.16,bore,character1,small_side,wow,green,True
to,30.16,30.5,bore,character1,small_side,think,green,True
the,30.5,30.64,bore,character1,small_side,think,green,True
syllabus,30.64,30.92,bore,character1,small_side,think,green,True
Whoa!,32.16,32.4,bore,character1,big_side,think,green,True
Something,32.56,33.84,bore,character1,big_side,think,green,True
actually,33.84,34.36,happy,character1,big_side,think,green,False
interesting,34.36,34.82,happy,character1,big_side,think,green,False
Oh,36.06,36.14,happy,character1,big_side,think,green,True
